clean_summary_text,clean_article_text,auto_id,summary
"menurut presiden susilo bambang yudhoyono, kemiskinan kini menjadi masalah serius yang dihadapi bangsa-bangsa di asia dan afrika. diharapkan masalah ini menjadi agenda penting dalam ktt asia-afrika.","jakarta: presiden susilo bambang yudhoyono menekankan bahwa tantangan terbesar yang dihadapi bangsa-bangsa asia dan afrika saat ini adalah masalah kemiskinan yang sangat buruk. yudhoyono berharap masalah ini menjadi pembahasan penting dalam konferensi tingkat tinggi asia-afrika. demikian pidato yudhoyono saat membuka ktt asia-afrika di jakarta convention centre, jakarta, jumat ( 22/4 ) [ baca: presiden yudhoyono resmi membuka kaa ]. pada awal pidatonya, yudhoyono para peserta untuk mengheningkan cipta sejenak bagi korban gempa dan tsunami di nanggroe aceh darussalam dan nias, sumatra utara. selanjutnya, yudhoyono menegaskan pertemuan ini bukanlah sekadar romantisme, tetapi upaya bersama untuk memecahkan masalah yang dihadapi kedua benua. acara pembukaan konferensi ini juga dihadiri sekretaris jenderal perserikatan bangsa-bangsa kofi annan yang datang sebagai tamu kehormatan. meski fokusnya adalah mempererat hubungan antara asia dan afrika, konferensi ini dipastikan akan diwarnai sejumlah pertemuan bilateral. ktt asia-afrika akan berlangsung selama dua hari. kegiatan ini akan diakhiri dengan acara napak tilas ke kota bandung, jawa barat, tempat berlangsungnya konferensi asia afrika pada 1955. sementara itu, para istri kepala negara yang hadir di peringatan emas kaa mengikuti ladies program yang disuguhkan ibu negara nyonya ani yudhoyono. acara gelar budaya indonesia ini berlangsung di sasono langen budoyo, taman mini indonesia indah, jakarta timur. kegiatan yang dimulai sekitar pukul 10. 30 wib ini diawali dengan tarian dan atraksi selamat datang reog ponorogo. ibu ani menyalami satu per satu ibu negara dari 28 negara peserta yang datang. kemudian dilanjutkan dengan acara foto bersama. dalam sambutannya, ibu ani berharap agar semangat kaa semakin mempererat hubungan antarbangsa di benua asia dan afrika. selanjutnya ibu negara dan para tamu menyaksikan peragaan busana dari tiga perancang busana indonesia yakni ramli, adjie notonegoro, dan afif syakur. kunjungan ke beberapa anjungan yang ada di tmii juga dilakukan. ( awd/ali rojihi dan teguh dwi hartono ).",1,presiden susilo bambang yudhoyono menekankan bahwa tantangan terbesar yang dihadapi bangsa - bangsa asia dan afrika saat ini adalah masalah kemiskinan yang sangat buruk. ktt asia - afrika akan berlangsung selama dua hari.
"pada masa silam jepang terlalu ambisius untuk berkuasa. ternyata, ambisi itu justru menimbulkan kerusakan dan penderitaan luar biasa bagi penduduk di sejumlah negara, terutama di asia.","jakarta: perdana menteri jepang junichiro koizumi meminta maaf atas kekejaman tentara jepang pada masa perang dunia ii di asia. permohonan maaf secara formal itu koizumi utarakan di depan pemimpin negara-negara asia dan afrika dalam konferensi tingkat tinggi asia-afrika di jakarta convention center, jumat ( 22/4 ). koizumi mengatakan, pada masa silam jepang terlalu ambisius untuk berkuasa. ternyata, ambisi itu justru menimbulkan kerusakan dan penderitaan luar biasa bagi penduduk di sejumlah negara, terutama di asia. "" untuk itu jepang minta maaf, "" kata koizumi. selain meminta maaf, koizumi berharap kaa dapat membantu mempererat persahabatan antara jepang dan negara-negara di asia serta afrika. jepang, tambah koizumi, siap memberikan sumbangan dan bantuan bagi negara-negara asia dan afrika yang membutuhkan. pernyataan koizumi membuat heran para pengamat. menurut mereka, ini kejadian langka. mereka menduga, pernyataan koizumi terkait dengan makin panasnya hubungan jepang dan cina akhir-akhir ini. jepang ingin meredakan ketegangan melalui negara-negara peserta kaa. hubungan cina-jepang memang terus memburuk sejak jepang menyetujui penerbitan buku pelajaran sejarah nasional jepang, awal april 2005. apalagi buku itu sama sekali tak menceritakan kekejaman tentara jepang selama masa pd ii di asia dan pasifik. istilah negeri samurai saat itu adalah dai toa senso atau perang asia timur raya [ baca: cina menolak meminta maaf kepada jepang ]. ( ich/tim liputan 6 sctv ).",2,pm jepang junichiro koizumi meminta maaf atas kekejaman tentara jepang di masa silam. jepang siap memberikan sumbangan dan bantuan bagi negara - negara asia dan afrika yang membutuhkan.
"puluhan hektare areal persawahan yang sebagian siap panen maupun siap tanam tidak kelihatan lagi. jamri, petani yang memiliki lima hektare sawah mengaku merugi hingga ratusan juta rupiah.","kutai: banjir dengan ketinggian dua meter di kabupaten kutai barat dan kutai kartanegara, kalimantan timur, merendam puluhan hektare areal persawahan. dari pantauan sctv, baru-baru ini, areal persawahan yang sebagian sudah siap panen maupun siap tanam tidak kelihatan lagi. bencana terjadi disebabkan genangan air bah yang meluas dan berkepanjangan di dua kabupaten itu [ baca: banjir meluas di kutai ]. sejumlah warga menuturkan, banjir yang menggenangi lahan persawahan yang berlokasi tak jauh dari bantaran aliran sungai mahakam ini naik secara perlahan-lahan dalam beberapa hari terakhir. mereka tidak menyangka ketinggian air akhirnya mencapai sawah milik mereka. jamri, petani yang memiliki areal lima hektare sawah mengaku merugi hingga ratusan juta rupiah. banjir merendam semua sawah miliknya. ironisnya lagi, areal persawahan yang telah tertutup air kini menjadi tempat untuk lalu lintas perahu bermotor antarkampung. ( ais/polmart aritonang ).",3,"puluhan hektare areal persawahan di kabupaten kutai barat dan kutai kartanegara, kaltim, terendam banjir. areal persawahan yang telah tertutup air kini menjadi tempat untuk lalu lintas perahu bermotor antarkampung."
sekjen pbb kofi annan memuji langkah presiden susilo bambang yudhoyono mengunjungi timor leste untuk rekonsiliasi. dia juga mendukung penuh upaya pembangunan kembali aceh pasca-tsunami.,"jakarta: presiden susilo bambang yudhoyono menggelar pertemuan bilateral dengan sekretaris jenderal perserikatan bangsa-bangsa kofi annan dan wakil deputi perdana menteri palestina nabil saad. pertemuan dilangsungkan di sela-sela konferensi tingkat tinggi asia-afrika ( kaa ii ) di jakarta convention center, jumat ( 22/4 ) sekitar pukul 14. 00 wib. presiden yudhoyono dan annan membicarakan berbagai hal, termasuk dukungan pbb terhadap pembangunan kembali aceh pasca-tsunami. annan juga menyambut baik pertemuan helsinki untuk membahas penyelesaian konflik indonesia dan gerakan aceh merdeka. dia berharap pertemuan itu menghasilkan keputusan permanen dan komprehensif. annan pun memuji langkah presiden yudhoyono mengunjungi timor leste. sedangkan saad mengucapkan terima kasih kepada presiden yudhoyono atas dukungan penuh indonesia terhadap upaya kemerdekaan palestina. saad juga meminta indonesia berperan aktif dalam mengupayakan perdamaian di timur tengah. siang tadi, presiden yudhoyono sempat melaksanakan salat jumat bersama seluruh kepala negara dan delegasi peserta kaa. salat dilangsungkan di ballroom hotel hilton, tak sejalan dengan rencana semula yang sedianya dilaksanakan di masjid istiqlal, jakarta pusat. faktor keamanan menjadi pertimbangan pemindahan [ baca: presiden yudhoyono resmi membuka kaa ]. presiden yudhoyono, malam ini, dijadwalkan makan malam dengan seluruh kepala negara dan delegasi peserta kaa. acara akan dilangsungkan di istana negara, jakpus. ( ich/tim liputan 6 sctv ).",4,sekjen pbb kofi annan memuji langkah presiden susilo bambang yudhoyono mengunjungi timor leste. sekjen pbb dan wakil deputi pm palestina nabil saad berharap pertemuan itu menghasilkan keputusan permanen.
"untuk mempercepat pelaksanaan belajar-mengajar, warga kampung batu dalam, kecamatan danau kembar, kabupaten solok, sumatra barat, bergotong-royong membersihkan bangunan sekolah dasar yang tertutup debu.","solok: warga kampung batu dalam, kecamatan danau kembar, kabupaten solok, sumatra barat, jumat ( 22/4 ), ramai-ramai membersihkan ruangan sekolah. sekolah dasar 08 kampung teluk dalam termasuk sekolah yang paling parah terkena bencana. seperti disaksikan sctv, seluruh ruangan kelas tertutup debu setebal satu sentimeter. warga terpaksa turun tangan membersihkan ruangan sekolah dan fasilitas pendukung sehingga aktivitas pendidikan dapat dimulai senin pekan depan. gedung sekolah menengah umum negeri 1 danau kembar yang sebelumnya dipakai untuk menampung pengungsi, juga belum dapat digunakan. banyak peralatan sekolah seperti meja dan kursi yang rusak. selain itu lantai ruangan juga kotor dan banyak sampah yang ditinggalkan pengungsi [ baca: aktivitas sekolah di gunung talang belum normal ]. aktivitas gunung talang, cenderung menurun. tak lagi terdengar letusan atau gempa vulkanik dari gunung berapi ini. meski begitu, warga yang bermukim di kaki gunung diminta waspada dari ancaman bahaya lahar dingin jika hujan lebat turun [ baca: aktivitas gunung talang menurun ]. ( yyt/deni risman ).",5,"warga kampung batu dalam, kecamatan danau kembar, kabupaten solok, sumatra barat, ramai - ramai membersihkan ruangan kelas dan fasilitas pendukung. aktivitas belajar mengajar dimulai senin pekan depan."
"bertempat di taman mini indonesia indah, ibu negara ani yudhoyono menjamu istri-istri kepala negara peserta ktt asia afrika dengan pergelaran budaya tradisional kebanggaan indonesia.","jakarta: istri-istri kepala negara peserta konferensi tingkat tinggi asia-afrika ( kaa ii ) disuguhi pergelaran budaya tradisional indonesia di taman mini indonesia indah, jakarta timur, jumat ( 22/4 ). pergelaran ini selain untuk mengikat persahabatan juga bertujuan untuk meningkatkan kerja sama dalam bidang seni dan budaya [ baca: yudhoyono berharap masalah kemiskinan menjadi bahasan penting ]. acara yang dipimpin ibu negara ani yudhoyono ini dibuka dengan tari rampai atau yang dikenal dengan tari saman. tarian asal nanggroe aceh darussalam ini memukau para istri kepala negara. para tamu juga disuguhi tarian dari bali dan papua. budaya indonesia yang juga ditampilkan adalah kain batik. karya tradisional anak bangsa ini ditampilkan lewat peragaan busana yang melibatkan perancang ternama seperti ramli, afif syakur dan adjie notonegoro. perancang ini mempunyai ciri khas masing-masing. ramli dikenal dengan batik bordirnya, afif syakur batik tenun dan adjie mengusung batik songket. ( yyt/ali rojihi dan teguh dwihartono ).",6,"istri - istri kepala negara peserta kaa ii disuguhi pergelaran budaya tradisional indonesia di taman mini indonesia indah, jakarta timur. pergelaran ini selain mengikat persahabatan juga bertujuan untuk meningkatkan kerja sama di bidang seni dan budaya."
"kolonel richard ginting dinyatakan terlibat bisnis kayu ilegal ketika berpangkat letnan kolonel atau saat menjabat kasrem sorong, papua. kini, dia ditahan polisi militer sorong untuk memudahkan penyidikan.","jayapura: kolonel richard ginting dinonaktifkan dari jabatan kepala pusat koperasi tni angkatan darat komando daerah militer xvii trikora. mantan kepala staf komando resor militer sorong, papua, ini diduga terlibat dalam kegiatan pembalakan kayu. hal itu diungkapkan panglima daerah militer xvii trikora mayor jenderal tni nurdin zainal usai serah terima jabatan komandan korem 172 praja wirayakti di jayapura, papua, kamis ( 21/4 ). menurut nurdin, pemecatan richard menyusul hasil temuan tim hutan lestari ii. richard dinyatakan terlibat bisnis kayu ilegal ketika berpangkat letnan kolonel atau saat menjabat kasrem sorong. saat ini, richard ditahan polisi militer sorong untuk memudahkan penyidikan. sebelumnya, puspom tni juga menahan seorang perwira bernama kapten kaspar yang memiliki kayu batangan sebanyak 4. 500 batang tanpa disertai dokumen yang sah [ baca: hutanku hijau, hutanku terus dibabat ]. ( awd/ruba i kadir ).",7,kolonel richard ginting dinonaktifkan dari jabatan kepala pusat koperasi tni angkatan darat kodam xvii trikora. dia dinyatakan terlibat bisnis kayu ilegal ketika berpangkat letnan kolonel atau saat menjabat kasrem sorong.
"setelah 50 tahun berlalu, konferensi asia afrika kembali digelar. sebanyak 105 delegasi negara hadir dengan semangat yang sama dalam acara yang berlangsung di jakarta, 22-24 april 2004.","jakarta: konferensi asia afrika dibuka di jakarta, jumat ( 22/4 ) ini. pertemuan ini dilaksanakan di jakarta convention center. sebanyak 105 negara mengutus delegasi untuk hadir dalam kesempatan ini. sebagian di antaranya malah mengikutsertakan kepala negara. bahkan, sekretaris jenderal perserikatan bangsa-bangsa kofi annan duduk sebagai tamu kehormatan. para delegasi berkumpul dengan semangat yang sama, mempererat tali persahabatan dan saling membantu untuk menciptakan kesejahteraan bersama. sejarah 50 tahun silam seperti terulang. kala itu, berbekal semangat untuk melepaskan diri dari belenggu kolonialisme dan pengaruh dua blok ideologi, kaa berlangsung. bermula dari pertemuan kolombo, srilanka, awal 1954. hadir dalam pertemuan ini perdana menteri srilanka sir john kotelawala, pm burma u nu, dan pm india jawaharlal nehru. dari indonesia hadir ali sastroamidjojo dan muhammad ali bogra mewakili pakistan. dalam pertemuan ini, kelima tokoh itu menemukan kesamaan kondisi yang dialami bangsa masing-masing. kemudian timbul keinginan untuk memperluas pembicaraan dengan melibatkan lebih banyak negara-negara di asia dan afrika yang diperkirakan memiliki problematika yang sama. akhirnya pada 18 sampai 24 april 1955 terlaksana kaa. sebanyak 24 kepala negara dengan 1. 300 anggota delegasi hadir di bandung, jawa barat. dua gedung bersejarah yakni gedung concordia dan gedung dana pensiun yang kemudian diubah namanya oleh presiden soekarno menjadi gedung merdeka dan dwi warna menjadi arena pertemuan. adalah pidato soekarno yang menjadi jiwa dalam konferensi ini. dalam pidato yang berjudul "" lahirlah asia dan afrika yang baru "", sukarno mengatakan kejayaan bangsa-bangsa kedua benua sangat bergantung pada persatuan negara-negara di dalamnya. pertemuan ini melahirkan sebuah komunike bersama yang dikenal dengan dasa sila bandung. lima puluh tahun telah berlalu. tak ada lagi soekarno. kini, presiden susilo bambang yudhoyono yang melanjutkan. dalam pidato pembukaan, yudhoyono menekankan pentingnya bangsa-bangsa di asia dan afrika duduk bersama membicarakan masalah kemiskinan yang dihadapi saat ini [ baca: yudhoyono berharap masalah kemiskinan menjadi bahasan penting ]. mulai hari ini dan beberapa hari mendatang, semua peserta berkesempatan untuk merumuskan permasalahan tersebut. acara ini akan ditutup pada 24 april mendatang. napak tilas untuk memperingati 50 tahun kaa dilaksanakan di bandung, jawa barat, pada hari itu. sebagai simbol perdamaian bangsa-bangsa di asia dan afrika, gong berukuran raksasa dengan diameter dua meter dan berat 270 kilogram akan dipasang. seluruh delegasi negara yang hadir berkesempatan memukul gong tersebut. gong perdamaian berjumlah dua buah. salah satu di antaranya akan disimpan di afrika selatan. sedangkan satu lagi akan disimpan di gedung merdeka, bandung. alat ini memiliki empat bagian yakni lingkaran luar, tengah, dan lingkaran dalam serta puncak. di lingkaran luar dipasang bendera dan lambang negara peserta konferensi. tiang penyangga gong terbuat dari kayu jati tanpa sambungan. gong raksasa ini dibuat di solo, jateng, selama dua bulan dengan biaya us$ 175. 500 atau sekitar rp 1, 7 miliar. diperlukan puluhan orang untuk menggotong dan memasang gong ini. dari solo, gong akan diarak melewati semarang, jakarta, hingga berakhir di bandung. ( awd/tim liputan 6 sctv ).",8,"sebanyak 105 peserta menghadiri peringatan 50 tahun kaa di jakarta. gong perdamaian berjumlah dua buah akan dipasang di bandung, jabar. gong dipimpin langsung sekjen pbb kofi annan."
"mereka langsung pergi ke daerah lebih tinggi di bukit hili adulo begitu isu tsunami kembali menerpa nias, sumatra utara. sedangkan sebagian lainnya bergerak menuju sibolga.","nias: warga nias, sumatra utara, panik. mereka secara bergelombang kembali mengungsi. warga takut karena ada isu tsunami segera menghajar nias menyusul gempa berkekuatan 4, 5 pada skala richter, dini hari kemarin. demikian hasil pantauan sctv di nias, jumat ( 22/4 ). sampai siang tadi, masih ada warga yang mengungsi. bahkan pengungsi yang tinggal di sejumlah tenda darurat pun ikut panik. mereka langsung pergi ke daerah lebih tinggi di bukit hili adulo. sedangkan sebagian lainnya bergerak menuju sibolga. situasi nias kembali kacau. bupati nias binahati baeha sampai turun tangan. dia langsung mengimbau warga di kawasan muzei, nias tidak resah. berulang kali bupati nias meminta warga agar tidak mempercayai isu itu. binahati mengatakan, gempa susulan memang masih mungkin menggoyang nias. tapi dia memastikan gempa tak akan melahirkan tsunami [ baca: gempa susulan masih mungkin terjadi ]. "" nias tak akan tenggelam, "" kata binahati. ( ich/tim liputan 6 sctv ).",9,"sampai siang tadi, warga nias, sumatra utara, secara bergelombang kembali mengungsi. mereka langsung pergi ke daerah lebih tinggi di bukit hili adulo. sedangkan sebagian lainnya bergerak menuju sibolga."
"komisi ix dpr masih akan memilah-milah antara penyimpangan administratif, prosedural dan penyimpangan tindak pidana yang tercantum dalam hasil audit investigasi bpk terhadap komisi pemilihan umum.","jakarta: komisi xi dan iii dpr masih mempelajari secara detail hasil audit investigasi badan pemeriksa keuangan terhadap sejumlah proyek pengadaan barang dan jasa komisi pemilihan umum. setelah itu baru dua komisi ini akan menentukan sikapnya. namun secara umum, ketua komisi iii dpr teras narang menilai, laporan itu sudah bisa dijadikan acuan bagi penegak hukum untuk mengklarifikasi benar tidaknya ada penyimpangan penggunaan keuangan negara. "" adalah menjadi kewajiban bagi institusi penegak hukum untuk mengklarifikasi, "" jelas teras narang di jakarta, jumat ( 22/4 ). sedangkan ketua komisi ix dpr paskah suzetta mengatakan, pihaknya masih akan memilah-milah antara penyimpangan administratif, prosedural dan penyimpangan tindak pidana. khusus buat penyimpangan tindak pidana, komisi ix dpr akan menyikapinya dengan cara politis. "" terus menyerahkan kepada aparatur [ penegak hukum ] untuk ditindaklanjuti sampai ke pengadilan, "" jelas paskah [ baca: rp 90 miliar penyimpangan pada pemilu legislatif ]. sementara kpu pun akan memberikan tanggapan atas laporan audit investigasi bpk tersebut. tanggapan kpu ini rencananya disampaikan dalam jumpa pers khusus pada senin depan. menurut anggota kpu valina singka, jumpa pers akan dilakukan semua anggota agar masyarakat mendapat penjelasan lengkap mengenai persoalan sebenarnya. perlu diketahui, hasil audit investigasi bpk menyebutkan ada indikasi kerugian negara pada proyek pengadaan barang dan jasa di kpu untuk pemilihan umum legislatif 2004. jumlah kerugian diperkirakan mencapai rp 90 miliar. proyek pengadaan yang paling besar indikasi korupsinya adalah kotak suara yakni sekitar rp 50 miliar. namun total uang negara yang tidak dapat dipertanggungjawabkan mencapai rp 66 miliar. indikasi pelanggaran pada proyek pengadaan kotak suara terdapat pada adanya rekayasa untuk memenangkan pt survindo indah prestasi. bpk menemukan adanya komitmen dari perusahaan itu untuk memberikan dana kepada kpu jika mereka memenangkan tender. selain itu ada manipulasi spesifikasi teknik kotak suara, yakni ketebalan aluminiumnya menjadi lebih kecil dari yang disyaratkan. penanggungjawab pengadaan kotak suara ini adalah mulyana wira kusumah sedangkan untuk pengadaan surat suara, hasil audit investigasi bpk mendapati indikasi pelanggaran. antara lain panitia menaikkan harga pencetakan lebih besar dari harga yang sudah ditetapkan negara. bukan itu saja. jumlah surat suara yang dicetak pun lebih besar dari yang seharusnya. untuk pelanggaran ini, bpk memperkirakan kerugian negara sampai rp 12, 6 miliar. di sini mulyana juga menjadi panitia tender. untuk pengadaan tinta, hasil audit investigasi bpk menemukan setidaknya empat pelanggaran. di antaranya harga kontrak untuk tinta lokal dengan impor disamakan. anehnya lagi tidak menggunakan harga penawaran terendah. sedangkan pemenang tender menggelapkan bea masuk dan pajak dengan memalsukan dokumen invoice. penanggungjawab pengadaan tinta sidik jari ini adalah anggota kpu rusadi kantaprawira. bpk memperkirakan kerugian negara mencapai rp 3, 3 miliar. sedangkan buat pengadaan teknologi informasi ( ti ), indikasi pelanggaran ditemukan pada rekayasa panitia lelang bersama tim ahli kpu untuk memenangkan salah satu peserta tender. adanya kelebihan perhitungan harga yang dilaksanakan pt integrasi teknologi terbuka. proyek ini dipimpin chusnul mar iyah. untuk proyek itu negara diperkirakan dirugikan sekitar rp 154 juta, jumlah paling rendah dari semua proyek yang diaudit oleh bpk. bpk justru menemukan paling banyak pelanggaran dalam proyek sampul surat suara. pelanggaran paling serius yakni panitia tidak melakukan prakualifikasi terhadap perusahaan pemotongan kertas dan percetakan sampul surat suara. pelanggaran lain adalah melakukan pencetakan melebihi yang ditetapkan dalam surat keputusan kpu. akibat semua pelanggaran ini, kerugian negara diperkirakan mencapai rp 7 miliar. proyek ini diketuai anggota kpu daan dimara yang sudah berkali-kali diperiksa komisi pemberantasan korupsi. komisi xi dan iii dpr masih mempelajari secara detail hasil audit investigasi bpk terhadap kpu sebelum menentukan sikap. namun secara umum, menurut ketua komisi iii dpr teras narang, laporan itu sudah bisa digunakan sebagai acuan bagi aparat penegak hukum untuk mengklarifikasi benar tidaknya ada penyimpangan penggunaan keuangan negara. ( den/tim liputan 6 sctv ).",10,"komisi xi dan iii dpr masih akan memilah - milah antara penyimpangan administratif, prosedural dan penyimpangan tindak pidana. ketua komisi iii dpr teras narang menilai laporan audit investigasi bpk sudah bisa dijadikan acuan bagi penegak hukum."
